Component,Change
Classification algorithm,1
Detection algorithm,1
Image processing server,2
Classification algorithm,3
Detection algorithm,3
Structure,3
lighting module,4
Microcomputer,4
power unit,4
Detection algorithm,5
Classification algorithm,5
Camera module,5
Microcomputer,5
Classification algorithm,6
Detection algorithm,6
Microcomputer,6
control panel,6
Conveyor belt,6
Camera module,7
Microcomputer,7
lighting module,7
Microcomputer,8
control panel,8
Image processing server,1
Conveyor belt,2
Structure,2
Camera module,2
Microcomputer,2
Detection algorithm,2
Camera module,4
lighting module,5
Camera module,6
Detection algorithm,7
Classification algorithm,8
Structure,6
power unit,6
Structure,7
power unit,7
Image processing server,7
Camera module,1
Classification algorithm,7
