Component,Change
Battery,1
PMIC,1
MCU,1
Software application,1
GPS,1
Bluetooth,1
Aluminium housing,2
Watch strap,2
Side buttons,2
Battery,2
PCB,2
Battery,3
PMIC,3
Wireless charger,3
Software application,4
Data storage and processing server,4
Battery,5
Aluminium housing,5
PCB,5
Watch strap,5
GPS,5
MCU,6
Bluetooth,6
PCB,6
Battery,6
Aluminium housing,6
PMIC,7
Battery,7
MCU,7
Speaker,7
Microphone,7
Aluminium housing,7
PCB,7
Memory,7
Software application,7
Bluetooth,7
Battery,8
PMIC,8
Wireless charger,8
MCU,8
IMU,8
Aluminium housing,8
PCB,8
Software application,8
Wireless charger,9
PMIC,9
PCB,9
Aluminium housing,9
PCB,1
Aluminium housing,1
PPG sensors,1
PPG sensors,2
Wireless charger,2
Speaker,5
Microphone,5
Side buttons,5
MCU,5
Wireless charger,6
Data storage and processing server,7
Battery,9
MCU,9
IMU,1
Memory,1
Speaker,1
Microphone,1
IMU,2
Speaker,2
Microphone,2
PCB,3
Aluminium housing,3
PPG sensors,4
IMU,4
PCB,4
MCU,4
Memory,4
Microphone,4
Aluminium housing,4
PMIC,4
Wireless charger,5
Software application,6
Data storage and processing server,6
Memory,6
Watch strap,6
PMIC,6
GPS,7
Side Buttons,7
Microphone,8
Classification algorithm,1
Detection algorithm,1
Image processing server,2
Classification algorithm,3
Detection algorithm,3
Structure,3
lighting module,4
Microcomputer,4
power unit,4
Detection algorithm,5
Classification algorithm,5
Camera module,5
Microcomputer,5
Classification algorithm,6
Detection algorithm,6
Microcomputer,6
control panel,6
Conveyor belt,6
Camera module,7
Microcomputer,7
lighting module,7
Microcomputer,8
control panel,8
Image processing server,1
Conveyor belt,2
Structure,2
Camera module,2
Microcomputer,2
Detection algorithm,2
Camera module,4
lighting module,5
Camera module,6
Detection algorithm,7
Classification algorithm,8
Structure,6
power unit,6
Structure,7
power unit,7
Image processing server,7
Camera module,1
Classification algorithm,7
