Component,Reasoning,Change,Cycle
Battery,The primary component responsible for power storage; increasing battery life directly affects it.,Battery life shall be increased from 1 day to 7 days.,1
PMIC,Manages power distribution and consumption; needs adjustment for extended battery life.,Battery life shall be increased from 1 day to 7 days.,1
Wireless Charger,Charging mechanism may need modification to support new battery specifications.,Battery life shall be increased from 1 day to 7 days.,1
Aluminium housing,The housing must be sealed and robust to withstand water pressure.,The device shall be water-resistant up to 50 meters.,1
Watch strap,The strap must be made of a material that is water-resistant.,The device shall be water-resistant up to 50 meters.,1
Side buttons,Buttons need to be sealed to prevent water ingress.,The device shall be water-resistant up to 50 meters.,1
PCB,The PCB must be coated or designed to prevent water damage.,The device shall be water-resistant up to 50 meters.,1
Wireless charger,The charging mechanism must be designed to prevent water ingress.,The device shall be water-resistant up to 50 meters.,1
Speaker,Speaker design must prevent water from entering and damaging internal components.,The device shall be water-resistant up to 50 meters.,1
Microphone,Microphone design must prevent water from entering and damaging internal components.,The device shall be water-resistant up to 50 meters.,1
Wireless charger,The wireless charger is directly responsible for charging the device. Reducing the charging time will require modifications to the wireless charger to support faster charging.,Charging time shall be reduced from 3 hours to 1 hour (for charging from 0% to 80%).,1
Battery,The battery is the component being charged. Changes in charging time may necessitate modifications to the battery technology or capacity to handle faster charging without adverse effects.,Charging time shall be reduced from 3 hours to 1 hour (for charging from 0% to 80%).,1
PMIC,The PMIC manages the power flow to the battery. It will need adjustments to handle the increased power delivery required for faster charging.,Charging time shall be reduced from 3 hours to 1 hour (for charging from 0% to 80%).,1
Software Application,"It will need to handle the processing of physiological data directly on the smartphone, which was previously handled elsewhere.",All physiological data processing shall be performed on the owner's smartphone for privacy purposes.,1
Computing Unit,It will need to send raw physiological data to the smartphone for processing instead of processing it locally.,All physiological data processing shall be performed on the owner's smartphone for privacy purposes.,1
Data Storage and Processing Server,"It will no longer receive raw physiological data for processing, only anonymized or processed data.",All physiological data processing shall be performed on the owner's smartphone for privacy purposes.,1
Aluminium housing,The housing material and design will need to be modified to reduce weight.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Battery,The battery is often one of the heaviest components and will need to be lighter.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Watch strap,The strap material and design may need to be adjusted for weight reduction.,The total device weight shall be reduced from 60 grams to 36 grams.,1
PCB,The PCB design might need optimization to reduce size and weight.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Wireless charger,The wireless charging components may need to be made lighter.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Speaker,The speaker components may need to be reduced in size or weight.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Microphone,The microphone components may need to be reduced in size or weight.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Sensors,"The EDA sensor will be part of the sensor suite, requiring integration.",An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
Computing unit,The computing unit will need to process additional data from the EDA sensor.,An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
MCU,The MCU will need to handle the additional sensor data from the EDA sensor.,An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
Memory,Additional data storage may be required for the new sensor data.,An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
Software application,The software will need to interpret and utilize data from the EDA sensor.,An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
PCB,The PCB will need to accommodate the new EDA sensor.,An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
Structural support,Adding an OLED display will require modifications to the housing and possibly the strap to accommodate the new component.,An OLED display shall be added to the design.,1
Aluminium housing,The housing will need to be redesigned to fit and protect the OLED display.,An OLED display shall be added to the design.,1
Watch strap,The strap might need adjustments to support the additional weight and size of the OLED display.,An OLED display shall be added to the design.,1
Power management,"An OLED display will consume additional power, necessitating changes in power management.",An OLED display shall be added to the design.,1
Battery,The battery might need to be upgraded or modified to handle the increased power consumption.,An OLED display shall be added to the design.,1
PCB,The PCB will need to be redesigned to integrate the OLED display connections and possibly additional components.,An OLED display shall be added to the design.,1
Structural support,Adding a haptic feedback motor will require modifications to the physical structure to accommodate the new component.,Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
PCB,The PCB will need to be redesigned to integrate the new haptic feedback motor.,Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
Power management,Additional power consumption by the haptic motor necessitates adjustments in power management.,Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
Computing unit,The computing unit will need to control the haptic feedback motor.,Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
Software application,The software will need updates to manage haptic feedback alerts and guided breathing.,Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
Wireless charger,"The change explicitly states that wireless charging will be replaced by a wired solution, directly impacting the wireless charger component.",Wireless charging shall be replaced by a wired charging solution.,1
Power management,"The power management subsystem will need to accommodate the new wired charging solution, impacting its design or configuration.",Wireless charging shall be replaced by a wired charging solution.,1
Battery,The battery may need adjustments to be compatible with the new wired charging method.,Wireless charging shall be replaced by a wired charging solution.,1
Aluminium housing,The physical design of the housing may need to be altered to include a port for wired charging.,Wireless charging shall be replaced by a wired charging solution.,1
Structural support,The overall structural design might need to be reassessed to integrate the new wired charging port.,Wireless charging shall be replaced by a wired charging solution.,1
