Component,Change
Battery,1
PCB,1
Aluminium housing,1
PPG sensors,1
MCU,1
Software application,1
Aluminium housing,2
Side buttons,2
PPG sensors,2
Wireless charger,2
PMIC,3
Wireless charger,3
Data storage and processing server,4
Software application,4
Battery,5
Aluminium housing,5
Whatch strap,5
PCB,5
Speaker,5
Microphone,5
Side buttons,5
MCU,5
MCU,6
PCB,6
Aluminium housing,6
Wireless charger,6
Battery,7
MCU,7
Aluminium housing,7
PCB,7
Memory,7
Software application,7
Data storage and processing server,7
Aluminium housing,8
PCB,8
PCB,9
Wireless charger,9
PMIC,9
Battery,9
MCU,9
Aluminium housing,9


 



