Component,Reasoning,Change,Cycle
Battery,Battery life increase necessitates higher capacity and improved specifications.,Battery life shall be increased from 1 day to 7 days.,1
PMIC,PMIC requires adjustments for efficient power management with new battery.,Battery life shall be increased from 1 day to 7 days.,1
Wireless Charger,Wireless charger must adapt to new battery charging needs.,Battery life shall be increased from 1 day to 7 days.,1
Aluminium housing,Must be sealed and robust to withstand water pressure.,The device shall be water-resistant up to 50 meters.,1
Watch strap,Must be made of water-resistant material to prevent degradation.,The device shall be water-resistant up to 50 meters.,1
Side buttons,Need to be sealed to prevent water ingress.,The device shall be water-resistant up to 50 meters.,1
PCB,Must be coated or designed to prevent water damage.,The device shall be water-resistant up to 50 meters.,1
Wireless charger,Charging contacts need to be sealed to prevent water ingress.,The device shall be water-resistant up to 50 meters.,1
Speaker,Needs to be sealed and possibly redesigned to function underwater.,The device shall be water-resistant up to 50 meters.,1
Microphone,Needs to be sealed and possibly redesigned to function underwater.,The device shall be water-resistant up to 50 meters.,1
Bluetooth,Module may need sealing to prevent water damage.,The device shall be water-resistant up to 50 meters.,1
Battery,Compartment must be sealed to prevent water ingress.,The device shall be water-resistant up to 50 meters.,1
Wireless Charger,Directly influences charging speed and efficiency.,Charging time shall be reduced from 3 hours to 1 hour (for charging from 0% to 80%).,1
Battery,Must support faster charging rates without damage.,Charging time shall be reduced from 3 hours to 1 hour (for charging from 0% to 80%).,1
PMIC,"Manages power flow, crucial for faster charging.",Charging time shall be reduced from 3 hours to 1 hour (for charging from 0% to 80%).,1
Software application,Handles processing tasks on the smartphone.,All physiological data processing shall be performed on the owner's smartphone for privacy purposes.,1
Computing unit,Adjusts preprocessing tasks due to processing location change.,All physiological data processing shall be performed on the owner's smartphone for privacy purposes.,1
MCU,Modifies data handling and communication protocols.,All physiological data processing shall be performed on the owner's smartphone for privacy purposes.,1
Data storage and processing server,Changes interaction with the software application.,All physiological data processing shall be performed on the owner's smartphone for privacy purposes.,1
Aluminium housing,Housing material affects overall weight and needs modification.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Watch strap,Strap material affects overall weight and requires adjustment.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Battery,Battery weight is significant; size or type needs changing.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Wireless charger,Charger components contribute to weight and need optimization.,The total device weight shall be reduced from 60 grams to 36 grams.,1
PCB,PCB size and material affect weight and need optimization.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Side buttons,Button material affects overall weight and needs alteration.,The total device weight shall be reduced from 60 grams to 36 grams.,1
Sensors,"The EDA sensor will be part of the sensor suite, requiring integration.",An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
Computing unit,The computing unit will need to process additional data from the EDA sensor.,An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
MCU,The Micro Controller Unit will need to handle data collection from the new EDA sensor.,An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
Software application,The software will need updates to interpret and utilize data from the EDA sensor.,An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
PCB,The Printed Circuit Board will need modifications to accommodate the new EDA sensor.,An Electrodermal Activity (EDA) sensor shall be integrated to improve emotion and stress detection.,1
Structural support,Display addition requires physical accommodation.,An OLED display shall be added to the design.,1
PCB,New display needs electrical integration.,An OLED display shall be added to the design.,1
Power management,Displays consume additional power.,An OLED display shall be added to the design.,1
Computing unit,Additional processing for display management.,An OLED display shall be added to the design.,1
Structural support,Accommodates new physical components directly.,Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
Power management,"Powers new motor, direct connection needed.",Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
Computing unit,"Controls motor, direct software/hardware update required.",Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
PCB,"Connects motor, direct modification needed.",Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
Software application,"Manages motor, direct software update required.",Haptic feedback motor shall be added for real-time emotional state alerts or guided breathing,1
Wireless charger,This component will be directly replaced by a wired charging solution.,Wireless charging shall be replaced by a wired charging solution.,1
Power management,The power management subsystem will need adjustments to accommodate the new wired charging method.,Wireless charging shall be replaced by a wired charging solution.,1
Aluminium housing,The housing may need modifications to include a port for wired charging.,Wireless charging shall be replaced by a wired charging solution.,1
Structural support,Structural changes may be required to support the new wired charging port.,Wireless charging shall be replaced by a wired charging solution.,1
